sequence,date,slot,videoNumber,title,sourceMarketplace,sourceUrl,sourceZip,videoEntry,videoSha256,catalogProductId,affiliateMarketplace,affiliateLink,storeLink,publicationStatus,caption,hashtags
"11","2026-08-03","2","14","Escova Lava Louça Dispenser Recipiente porta detergente pratica limpeza pesada","shopee","https://shopee.com.br/product/393729004/14349830008","VIDEOS 0 - 300-20260730T124444Z-1-001.zip","VIDEOS 0 - 300/VIDEO 0014/Escova Lava Louça Dispenser Recipiente porta detergente pratica limpeza pesada.mp4","6c48071313966b212c234552c54841b712b7598eea365b2e4eef71939ef43ca1","","","","","aguardando_revisao_visual_e_link_afiliado","",""
"12","2026-08-03","3","16","Anéis De Dedo De Aço Inoxidável Defesa Para Mulheres Ferramenta De Proteção Ajustável Hisses Pessoal2br","shopee","https://shopee.com.br/Anéis-De-Dedo-De-Aço-Inoxidável-Defesa-Para-Mulheres-Ferramenta-De-Proteção-Ajustável-Hisses-Pessoal2br-i.877879143.20759146124","VIDEOS 0 - 300-20260730T124444Z-1-001.zip","VIDEOS 0 - 300/VIDEO 0016/Anéis De Dedo De Aço Inoxidável Defesa Para Mulheres Ferramenta De Proteção Ajustável Hisses Pessoal2br.mp4","f4b8a5a122d93d36a2a4973bcfb906a7e326887443b4cb35125a32e5f2a51983","","","","","aguardando_revisao_visual_e_link_afiliado","",""
"13","2026-08-04","1","17","Ombro Em Estoque 8 Pares Protetor De Salto Alto Tampas De Reparação De Calcanhar Cobre , Extra Pequeno , Médio , Grande , Preto","shopee","https://shopee.com.br/product/601748552/12261451725","VIDEOS 0 - 300-20260730T124444Z-1-001.zip","VIDEOS 0 - 300/VIDEO 0017/Ombro Em Estoque 8 Pares Protetor De Salto Alto Tampas De Reparação De Calcanhar Cobre , Extra Pequeno , Médio , Grande , Preto.mp4","06163adfe5187b23a4ab8fa753626dde9b1bf7683d6300a81b1f2c17019cd84b","","","","","aguardando_revisao_visual_e_link_afiliado","",""
"14","2026-08-04","2","18","Teak 2  10pcs Inferior Kit Caixa De Junção 86  118  120 Tipo De Montagem Da Parede Caixa De Reparo Pólo Cassete Reparação De Danos Escuro","shopee","https://shopee.com.br/product/242916878/13516061120","VIDEOS 0 - 300-20260730T124444Z-1-001.zip","VIDEOS 0 - 300/VIDEO 0018/Teak 2  10pcs Inferior Kit Caixa De Junção 86  118  120 Tipo De Montagem Da Parede Caixa De Reparo Pólo Cassete Reparação De Danos Escuro.mp4","bcf618b22f0598f3adee66e3d9793bd1983e1beb55504c740d69fbcc393a84d8","","","","","aguardando_revisao_visual_e_link_afiliado","",""
"15","2026-08-04","3","19","Resina 2004 Epoxi Transparente Com Endurecedor 3154 (150 g)","shopee","https://shopee.com.br/Resina-2004-Epoxi-Transparente-Com-Endurecedor-3154-(150-g)-i.504856591.20072097461","VIDEOS 0 - 300-20260730T124444Z-1-001.zip","VIDEOS 0 - 300/VIDEO 0019/Resina 2004 Epoxi Transparente Com Endurecedor 3154 (150 g).mp4","21621c440e74fe32b890724dfba9e9754df90491f11f6f7ea68df9c6af626045","","","","","aguardando_revisao_visual_e_link_afiliado","",""
"16","2026-08-05","1","20","Molde de Para Picolé Frutas Forma Vara Tradicional Em Silicone Verão Picolé Fabricantes. MEGA OFERTA","shopee","https://shopee.com.br/Molde-de-Para-Picolé-Frutas-Forma-Vara-Tradicional-Em-Silicone-Verão-Picolé-Fabricantes.-MEGA-OFERTA-i.390383033.20325806384","VIDEOS 0 - 300-20260730T124444Z-1-001.zip","VIDEOS 0 - 300/VIDEO 0020/Molde de Para Picolé Frutas Forma Vara Tradicional Em Silicone Verão Picolé Fabricantes. MEGA OFERTA.mp4","6ad46618b873fc16eec46effe4a0eceab8be344f9cb99716a6659b20347f35e1","","","","","aguardando_revisao_visual_e_link_afiliado","",""
"17","2026-08-05","2","21","Pingente De Renda De Metal Com PerfumeAcessórios Para Carros","shopee","https://shopee.com.br/product/523448451/21114201326","VIDEOS 0 - 300-20260730T124444Z-1-001.zip","VIDEOS 0 - 300/VIDEO 0021/Pingente De Renda De Metal Com PerfumeAcessórios Para Carros.mp4","1b2da96f7cbf35708ca2fe5941050fa01f37370cd56f0b9e8d5f9272eb708904","","","","","aguardando_revisao_visual_e_link_afiliado","",""
"18","2026-08-05","3","22","Único sofá preguiçoso para sala de estar, lazer reclinável cadeira de balanço, multi-funcional, luz luxo nuvem sofá","outro","https://pt.aliexpress.com/item/1005005208521013.html","VIDEOS 0 - 300-20260730T124444Z-1-001.zip","VIDEOS 0 - 300/VIDEO 0022/Único sofá preguiçoso para sala de estar, lazer reclinável cadeira de balanço, multi-funcional, luz luxo nuvem sofá.mp4","42144f8ec89acf922c7d8f476de920f527a2f0beeb83570b659bb6c70c183bdf","","","","","aguardando_revisao_visual_e_link_afiliado","",""
"19","2026-08-06","1","23","Desentupidor Bomba de pressão Vertical MaxDreno AirJet","shopee","https://shopee.com.br/product/602089048/14407030728","VIDEOS 0 - 300-20260730T124444Z-1-001.zip","VIDEOS 0 - 300/VIDEO 0023/Desentupidor Bomba de pressão Vertical MaxDreno AirJet.mp4","2bb02f298e5aa81217346780bd556933bb7ea3a50ac2879591fd050b38e9f2cd","","","","","aguardando_revisao_visual_e_link_afiliado","",""
"20","2026-08-06","2","24","DOREEN1 Home Melhoria Da Armadura De Aço Inoxidável Cadeado Cilíndrico De Disco","shopee","https://shopee.com.br/product/183962690/20498527913","VIDEOS 0 - 300-20260730T124444Z-1-001.zip","VIDEOS 0 - 300/VIDEO 0024/DOREEN1 Home Melhoria Da Armadura De Aço Inoxidável Cadeado Cilíndrico De Disco.mp4","96c19c5356fefacb71c1f9098e07acdb3e9fad65b43f2e2982a2ed0f756b4309","","","","","aguardando_revisao_visual_e_link_afiliado","",""
"21","2026-08-06","3","26","[GrandLarge] Cola Para Calçados Adesiva À Prova D_água Universal Fortes BR","shopee","https://shopee.com.br/product/243235233/21176302021","VIDEOS 0 - 300-20260730T124444Z-1-001.zip","VIDEOS 0 - 300/VIDEO 0026/[GrandLarge] Cola Para Calçados Adesiva À Prova D_água Universal Fortes BR.mp4","349adc9c0ed897835bc1f762e21344c37a6bc0722d08433cf1c197ef36ed669f","","","","","aguardando_revisao_visual_e_link_afiliado","",""
"22","2026-08-07","1","27","(dmc) Conjunto Criativo De Vidro Resistente Ao Calor Para CopoCháLeite","shopee","https://shopee.com.br/product/653972653/21405417086","VIDEOS 0 - 300-20260730T124444Z-1-001.zip","VIDEOS 0 - 300/VIDEO 0027/(dmc) Conjunto Criativo De Vidro Resistente Ao Calor Para CopoCháLeite.mp4","673ac01db47736fa71c2ba4583bb2c281407c35f6a06a438569d0d9f8c3ca256","","","","","aguardando_revisao_visual_e_link_afiliado","",""
"23","2026-08-07","2","28","Xiaomi Mijia AR Impressora De Bolso 300dpi Mini Portátil Para Viagem Fotográfica Festa Câmera DIY Share 500mAh Imagem","shopee","https://shopee.com.br/product/778120018/21740611999","VIDEOS 0 - 300-20260730T124444Z-1-001.zip","VIDEOS 0 - 300/VIDEO 0028/Xiaomi Mijia AR Impressora De Bolso 300dpi Mini Portátil Para Viagem Fotográfica Festa Câmera DIY Share 500mAh Imagem.mp4","a3ad3fb64a1b0a5b190fbc2f0f0df3197ca6c1d290c0fb586fb162ffe1a97ad0","","","","","aguardando_revisao_visual_e_link_afiliado","",""
"24","2026-08-07","3","29","Suporte Para Geladeira Fogão E Máquina De Lavar Base Carrinho","shopee","https://shopee.com.br/Suporte-Para-Geladeira-Fogão-E-Máquina-De-Lavar-Base-Carrinho-i.406182835.22795515168","VIDEOS 0 - 300-20260730T124444Z-1-001.zip","VIDEOS 0 - 300/VIDEO 0029/Suporte Para Geladeira Fogão E Máquina De Lavar Base Carrinho.mp4","36a6e81a0245a7b1c496a19ceaf4b86650477f876534dc42dd17af020e168951","","","","","aguardando_revisao_visual_e_link_afiliado","",""
"25","2026-08-08","1","30","Semorin Tira ferrugem de Roupa Brancas e Coloridas","shopee","https://shopee.com.br/Semorin-Tira-ferrugem-de-Roupa-Brancas-e-Coloridas-i.418160445.15920103313","VIDEOS 0 - 300-20260730T124444Z-1-001.zip","VIDEOS 0 - 300/VIDEO 0030/Semorin Tira ferrugem de Roupa Brancas e Coloridas.mp4","cb007b5d0a0a0337dd9cd87911e8a104153079fbb0ff12a4e877752d9a47bb2f","","","","","aguardando_revisao_visual_e_link_afiliado","",""
"26","2026-08-08","2","31","Vinil auto adesivo piso adesivos de parede de mármore à prova dwaterproof água filme decorativo banheiro cozinha sala estar decalques renovação chão","shopee","https://shopee.com.br/Vinil-auto-adesivo-piso-adesivos-de-parede-de-mármore-à-prova-dwaterproof-água-filme-decorativo-banheiro-cozinha-sala-estar-decalques-renovação-chão-i.455491218.13566802626","VIDEOS 0 - 300-20260730T124444Z-1-001.zip","VIDEOS 0 - 300/VIDEO 0031/Vinil auto adesivo piso adesivos de parede de mármore à prova dwaterproof água filme decorativo banheiro cozinha sala estar decalques renovação chão.mp4","43add7f1aa87cacc723a5ff23103fd6cdb3e2d5d79d31320c0873e4c95216780","","","","","aguardando_revisao_visual_e_link_afiliado","",""
"27","2026-08-08","3","32","(Serra) Bacia Para Lavar Cabelos Com Mangueira","shopee","https://shopee.com.br/product/354163234/11633080835","VIDEOS 0 - 300-20260730T124444Z-1-001.zip","VIDEOS 0 - 300/VIDEO 0032/(Serra) Bacia Para Lavar Cabelos Com Mangueira.mp4","dc3bb6b596f17b7b943486b7ba47a29d351d3d3b117b53f75e5f815a07093d51","","","","","aguardando_revisao_visual_e_link_afiliado","",""
"28","2026-08-09","1","33","Escovas de Aço Multiuso Kit 3 Pcs Aço Latão Nylon Cabo Plástico","shopee","https://shopee.com.br/Escovas-de-Aço-Multiuso-Kit-3-Pcs-Aço-Latão-Nylon-Cabo-Plástico-i.394786209.8065374301","VIDEOS 0 - 300-20260730T124444Z-1-001.zip","VIDEOS 0 - 300/VIDEO 0033/Escovas de Aço Multiuso Kit 3 Pcs Aço Latão Nylon Cabo Plástico.mp4","767e65b65de9b04de7aeb31d1365c7184cd8a8be17bfd344147bdab6a7ae5825","","","","","aguardando_revisao_visual_e_link_afiliado","",""
"29","2026-08-09","2","34","Cadeira Mochila Pesca Camping - Bolsa Térmica - Escolha a Sua","shopee","https://shopee.com.br/product/309454464/14913414754","VIDEOS 0 - 300-20260730T124444Z-1-001.zip","VIDEOS 0 - 300/VIDEO 0034/Cadeira Mochila Pesca Camping - Bolsa Térmica - Escolha a Sua.mp4","a1744d807447f850411e3be7dee1ef3f9734b40253c87da92689ac95027393f9","","","","","aguardando_revisao_visual_e_link_afiliado","",""
"30","2026-08-09","3","37","Rack de armazenamento para banheiro, Rack de armazenamento para banheiro, Rack de armazenamento, Caixa Organizadora, Instalação Livre, Luz, Luxo","outro","https://pt.aliexpress.com/item/1005005550834857.html","VIDEOS 0 - 300-20260730T124444Z-1-001.zip","VIDEOS 0 - 300/VIDEO 0037/Rack de armazenamento para banheiro, Rack de armazenamento para banheiro, Rack de armazenamento, Caixa Organizadora, Instalação Livre, Luz, Luxo.mp4","2c344e5d444f74d819988d02430f0455cca584ce7a600072a5c7b1fad9d55356","","","","","aguardando_revisao_visual_e_link_afiliado","",""
"31","2026-08-10","1","38","Teclado Sem Fio Dobrável Ultrafino Bluetooth Para Computador De Mesa De Celular De Liga De Alumínio Com Suporte Hoder Windows iPad PC Notebook Portátil","shopee","https://shopee.com.br/product/835523837/21142761697","VIDEOS 0 - 300-20260730T124444Z-1-001.zip","VIDEOS 0 - 300/VIDEO 0038/Teclado Sem Fio Dobrável Ultrafino Bluetooth Para Computador De Mesa De Celular De Liga De Alumínio Com Suporte Hoder Windows iPad PC Notebook Portátil.mp4","6953a591d2fc3ec82b0dcb375f9b29dffcd49afe19d210abc12da051e4705dbe","","","","","aguardando_revisao_visual_e_link_afiliado","",""
"32","2026-08-10","2","39","Pilão com Socador em Inox Base Antideslizante Mimo Style","shopee","https://shopee.com.br/product/789785909/17680553113","VIDEOS 0 - 300-20260730T124444Z-1-001.zip","VIDEOS 0 - 300/VIDEO 0039/Pilão com Socador em Inox Base Antideslizante Mimo Style.mp4","e7747e3c14bef5013ac5b3036ce38efcefeabc58b37683c6ed3964d60a5790f7","","","","","aguardando_revisao_visual_e_link_afiliado","",""
"33","2026-08-10","3","40","Batom Muda De Cor Com Flor Transparente De Longa Duração Na Temperatura HGF","shopee","https://shopee.com.br/product/582139676/21210315443","VIDEOS 0 - 300-20260730T124444Z-1-001.zip","VIDEOS 0 - 300/VIDEO 0040/Batom Muda De Cor Com Flor Transparente De Longa Duração Na Temperatura HGF.mp4","ba8eaf661627a2b55a147ab857648951edec16a14d34075054ad001cd84f17c2","","","","","aguardando_revisao_visual_e_link_afiliado","",""
"34","2026-08-11","1","41","[L & Z] Assento De Banho De Bebê Suporte Universal De Banheira Pode Sentar Almofada De Reclinação Recém-Nascido Aprender A","shopee","https://shopee.com.br/product/805048728/17186447100","VIDEOS 0 - 300-20260730T124444Z-1-001.zip","VIDEOS 0 - 300/VIDEO 0041/[L & Z] Assento De Banho De Bebê Suporte Universal De Banheira Pode Sentar Almofada De Reclinação Recém-Nascido Aprender A.mp4","37526c70dac45ca7639c1dc8ef0358d8b9c5f1b592c064ab2e0ae35b5a36231a","","","","","aguardando_revisao_visual_e_link_afiliado","",""
"35","2026-08-11","2","42","Capa de transporte Pet Carro - Bancos em Tecido","shopee","https://shopee.com.br/product/509680754/10570004716","VIDEOS 0 - 300-20260730T124444Z-1-001.zip","VIDEOS 0 - 300/VIDEO 0042/Capa de transporte Pet Carro - Bancos em Tecido.mp4","13ff05f764e1229058286d42b59b9e19310456a086a4c978b3e61974faa81224","","","","","aguardando_revisao_visual_e_link_afiliado","",""
"36","2026-08-11","3","43","Rosa Verde Preto E Branco Polka-dot Tecido Prato Artefato Para Cabelo Em Rede Butterfly Twist Clip Acessórios De Com Flores","shopee","https://shopee.com.br/product/562741592/20275430324","VIDEOS 0 - 300-20260730T124444Z-1-001.zip","VIDEOS 0 - 300/VIDEO 0043/Rosa Verde Preto E Branco Polka-dot Tecido Prato Artefato Para Cabelo Em Rede Butterfly Twist Clip Acessórios De Com Flores.mp4","d9f6bb3ef3a72f2277695c03821dd73cfca92172a6f9f6dfc979ac3e121049c4","","","","","aguardando_revisao_visual_e_link_afiliado","",""
"37","2026-08-12","1","44","Retangular levantado jardim cama kit interior ao ar livre plantador de plástico crescer caixa vaso de flores elevado jardim cama vasos & plantadores","outro","https://pt.aliexpress.com/item/1005004682242519.html","VIDEOS 0 - 300-20260730T124444Z-1-001.zip","VIDEOS 0 - 300/VIDEO 0044/Retangular levantado jardim cama kit interior ao ar livre plantador de plástico crescer caixa vaso de flores elevado jardim cama vasos & plantadores.mp4","365c85708868b9b5ccac3a87bc3f591a87739c9fe7b9e8036ee94be1581d15c4","","","","","aguardando_revisao_visual_e_link_afiliado","",""
"38","2026-08-12","2","45","Carregamento de baterias strokeTreinamento de reabilitação de dedos versão em inglês da função manual equipamento de massagem pneumática elétrica luvas robóticas","shopee","https://shopee.com.br/Carregamento-de-baterias-strokeTreinamento-de-reabilitação-de-dedos-versão-em-inglês-da-função-manual-equipamento-de-massagem-pneumática-elétrica-luvas-robóticas-i.869007629.21051266800","VIDEOS 0 - 300-20260730T124444Z-1-001.zip","VIDEOS 0 - 300/VIDEO 0045/Carregamento de baterias strokeTreinamento de reabilitação de dedos versão em inglês da função manual equipamento de massagem pneumática elétrica luvas robóticas.mp4","b3a6a828cb3f700f06b031d2e799509c11e8f54e0d865f8b026a27873e91053d","","","","","aguardando_revisao_visual_e_link_afiliado","",""
"39","2026-08-12","3","46","dreamedge Dispensador De Sabonete Manual Fixado Na Parede Gel Líquido Para Mão , Shampoo , Condicionador , S","shopee","https://shopee.com.br/product/288253730/16976442008","VIDEOS 0 - 300-20260730T124444Z-1-001.zip","VIDEOS 0 - 300/VIDEO 0046/dreamedge Dispensador De Sabonete Manual Fixado Na Parede Gel Líquido Para Mão , Shampoo , Condicionador , S.mp4","02480f77630ef3dcd15f6714f158301d4562201e39fd0a34d132f297fb9196bc","","","","","aguardando_revisao_visual_e_link_afiliado","",""
"40","2026-08-13","1","47","Cortina Protetor Solar Infantil Blackout","shopee","https://shopee.com.br/product/450655062/8266051599","VIDEOS 0 - 300-20260730T124444Z-1-001.zip","VIDEOS 0 - 300/VIDEO 0047/Cortina Protetor Solar Infantil Blackout.mp4","505ae514c6454d72ef5d70de5e3f374c8ece7d055603030b93be8abfdb6546e1","","","","","aguardando_revisao_visual_e_link_afiliado","",""
"41","2026-08-13","2","48","6 Pçs Limpador De Orelha De Aço Inoxidável , Ferramenta De Remoção De Ouvido Para Adultos E Bebês","shopee","https://shopee.com.br/product/468016772/13639749956","VIDEOS 0 - 300-20260730T124444Z-1-001.zip","VIDEOS 0 - 300/VIDEO 0048/6 Pçs Limpador De Orelha De Aço Inoxidável , Ferramenta De Remoção De Ouvido Para Adultos E Bebês.mp4","ce60007b6d04a31f6781e98b5d2a585fcbff7507cbade4a1b477e4c1eef792ff","","","","","aguardando_revisao_visual_e_link_afiliado","",""
"42","2026-08-13","3","49","Magic Gem Cuidados cerâmicos da pintura do revestimento do carro para o líquido hidrofóbico do polímero da cera automática detalhando acessórios do carro selo nano do pulverizador M17","outro","https://pt.aliexpress.com/item/1005005170944764.html","VIDEOS 0 - 300-20260730T124444Z-1-001.zip","VIDEOS 0 - 300/VIDEO 0049/Magic Gem Cuidados cerâmicos da pintura do revestimento do carro para o líquido hidrofóbico do polímero da cera automática detalhando acessórios do carro selo nano do pulverizador M17.mp4","881ff114c64e6177daf3d6c1ff29dc8bae3f10e8745a859061e48f3a8cba65c7","","","","","aguardando_revisao_visual_e_link_afiliado","",""
"43","2026-08-14","1","50","Caixa de telefone móvel Caixas de bloqueio de temporização universal Caixa de telefone de autodisciplina","shopee","https://shopee.com.br/Caixa-de-telefone-móvel-Caixas-de-bloqueio-de-temporização-universal-Caixa-de-telefone-de-autodisciplina-i.287930097.19273127356","VIDEOS 0 - 300-20260730T124444Z-1-001.zip","VIDEOS 0 - 300/VIDEO 0050/Caixa de telefone móvel Caixas de bloqueio de temporização universal Caixa de telefone de autodisciplina.mp4","e8ac43c470a2106c3264c6152fa85b99729de2f660786c560f160806fa6ba793","","","","","aguardando_revisao_visual_e_link_afiliado","",""
"44","2026-08-14","2","51","Stream Pólo Super Leve Vara De Pesca Dura De Alta Fibra De Carbono Telescópica Alça 3.6M 4.5M 5.4M 6.3M 7.2M Viagem Da Carpa","shopee","https://shopee.com.br/product/688984932/17673213687","VIDEOS 0 - 300-20260730T124444Z-1-001.zip","VIDEOS 0 - 300/VIDEO 0051/Stream Pólo Super Leve Vara De Pesca Dura De Alta Fibra De Carbono Telescópica Alça 3.6M 4.5M 5.4M 6.3M 7.2M Viagem Da Carpa.mp4","5e08061923fe141b6ce04ce6d85117939734013f6c439e28fb52345722fb9a45","","","","","aguardando_revisao_visual_e_link_afiliado","",""
"45","2026-08-14","3","52","Mini Drone Para Crianças Bola Voadora De Ovni Brinquedo Operado À Mão Com Brilhante UFO Bumerangue Luz Led","shopee","https://shopee.com.br/Mini-Drone-Para-Crianças-Bola-Voadora-De-Ovni-Brinquedo-Operado-À-Mão-Com-Brilhante-UFO-Bumerangue-Luz-Led-i.288604203.15491876235","VIDEOS 0 - 300-20260730T124444Z-1-001.zip","VIDEOS 0 - 300/VIDEO 0052/Mini Drone Para Crianças Bola Voadora De Ovni Brinquedo Operado À Mão Com Brilhante UFO Bumerangue Luz Led.mp4","9b79b296c7a36f9c429982e9404aac7d01dd603d6323262fce8877235d3f6aae","","","","","aguardando_revisao_visual_e_link_afiliado","",""
"46","2026-08-15","1","53","Novo retro arco pérola borla primavera clipe rosa flor franja mar clip alto rabo de cavalo uma palavra menina grampo de cabelo acessórios para o cabelo","outro","https://pt.aliexpress.com/item/1005005046839685.html","VIDEOS 0 - 300-20260730T124444Z-1-001.zip","VIDEOS 0 - 300/VIDEO 0053/Novo retro arco pérola borla primavera clipe rosa flor franja mar clip alto rabo de cavalo uma palavra menina grampo de cabelo acessórios para o cabelo.mp4","34342c00dfca3147ed7d1c41d59925d46a015074e4dd95bcffc86ce0ff515a32","","","","","aguardando_revisao_visual_e_link_afiliado","",""
