"sourceZip","videoNumber","title","videoEntry","videoSha256","status","durationSeconds","width","height","resolution","orientation","fps","videoCodec","audioCodec","audioChannels","audioSampleRate","bitRate","bytes","error"
"VIDEOS 0 - 300-20260730T124444Z-1-001.zip","14","Escova Lava Louça Dispenser Recipiente porta detergente pratica limpeza pesada","VIDEOS 0 - 300/VIDEO 0014/Escova Lava Louça Dispenser Recipiente porta detergente pratica limpeza pesada.mp4","6c48071313966b212c234552c54841b712b7598eea365b2e4eef71939ef43ca1","ok","17,205","1080","1920","1080x1920","vertical","30","h264","aac","2","44100","4054132","8718918",""
"VIDEOS 0 - 300-20260730T124444Z-1-001.zip","16","Anéis De Dedo De Aço Inoxidável Defesa Para Mulheres Ferramenta De Proteção Ajustável Hisses Pessoal2br","VIDEOS 0 - 300/VIDEO 0016/Anéis De Dedo De Aço Inoxidável Defesa Para Mulheres Ferramenta De Proteção Ajustável Hisses Pessoal2br.mp4","f4b8a5a122d93d36a2a4973bcfb906a7e326887443b4cb35125a32e5f2a51983","ok","5,595","1080","1920","1080x1920","vertical","30","h264","aac","2","44100","1474625","1031316",""
"VIDEOS 0 - 300-20260730T124444Z-1-001.zip","17","Ombro Em Estoque 8 Pares Protetor De Salto Alto Tampas De Reparação De Calcanhar Cobre , Extra Pequeno , Médio , Grande , Preto","VIDEOS 0 - 300/VIDEO 0017/Ombro Em Estoque 8 Pares Protetor De Salto Alto Tampas De Reparação De Calcanhar Cobre , Extra Pequeno , Médio , Grande , Preto.mp4","06163adfe5187b23a4ab8fa753626dde9b1bf7683d6300a81b1f2c17019cd84b","ok","8,405","1080","1920","1080x1920","vertical","30","h264","aac","2","44100","2451764","2575885",""
"VIDEOS 0 - 300-20260730T124444Z-1-001.zip","18","Teak 2  10pcs Inferior Kit Caixa De Junção 86  118  120 Tipo De Montagem Da Parede Caixa De Reparo Pólo Cassete Reparação De Danos Escuro","VIDEOS 0 - 300/VIDEO 0018/Teak 2  10pcs Inferior Kit Caixa De Junção 86  118  120 Tipo De Montagem Da Parede Caixa De Reparo Pólo Cassete Reparação De Danos Escuro.mp4","bcf618b22f0598f3adee66e3d9793bd1983e1beb55504c740d69fbcc393a84d8","ok","10,402","1080","1920","1080x1920","vertical","30","h264","aac","2","44100","1553395","2019802",""
"VIDEOS 0 - 300-20260730T124444Z-1-001.zip","19","Resina 2004 Epoxi Transparente Com Endurecedor 3154 (150 g)","VIDEOS 0 - 300/VIDEO 0019/Resina 2004 Epoxi Transparente Com Endurecedor 3154 (150 g).mp4","21621c440e74fe32b890724dfba9e9754df90491f11f6f7ea68df9c6af626045","ok","16,091","1080","1920","1080x1920","vertical","30","h264","aac","2","44100","3568675","7177945",""
"VIDEOS 0 - 300-20260730T124444Z-1-001.zip","20","Molde de Para Picolé Frutas Forma Vara Tradicional Em Silicone Verão Picolé Fabricantes. MEGA OFERTA","VIDEOS 0 - 300/VIDEO 0020/Molde de Para Picolé Frutas Forma Vara Tradicional Em Silicone Verão Picolé Fabricantes. MEGA OFERTA.mp4","6ad46618b873fc16eec46effe4a0eceab8be344f9cb99716a6659b20347f35e1","ok","10,959","1080","1920","1080x1920","vertical","30","h264","aac","2","44100","2729998","3739757",""
"VIDEOS 0 - 300-20260730T124444Z-1-001.zip","21","Pingente De Renda De Metal Com PerfumeAcessórios Para Carros","VIDEOS 0 - 300/VIDEO 0021/Pingente De Renda De Metal Com PerfumeAcessórios Para Carros.mp4","1b2da96f7cbf35708ca2fe5941050fa01f37370cd56f0b9e8d5f9272eb708904","ok","8,265","1080","1920","1080x1920","vertical","30","h264","aac","2","44100","1340788","1385202",""
"VIDEOS 0 - 300-20260730T124444Z-1-001.zip","22","Único sofá preguiçoso para sala de estar, lazer reclinável cadeira de balanço, multi-funcional, luz luxo nuvem sofá","VIDEOS 0 - 300/VIDEO 0022/Único sofá preguiçoso para sala de estar, lazer reclinável cadeira de balanço, multi-funcional, luz luxo nuvem sofá.mp4","42144f8ec89acf922c7d8f476de920f527a2f0beeb83570b659bb6c70c183bdf","ok","12,143","1080","1920","1080x1920","vertical","30","h264","aac","2","44100","2023436","3071324",""
"VIDEOS 0 - 300-20260730T124444Z-1-001.zip","23","Desentupidor Bomba de pressão Vertical MaxDreno AirJet","VIDEOS 0 - 300/VIDEO 0023/Desentupidor Bomba de pressão Vertical MaxDreno AirJet.mp4","2bb02f298e5aa81217346780bd556933bb7ea3a50ac2879591fd050b38e9f2cd","ok","9,635","1080","1920","1080x1920","vertical","30","h264","aac","2","44100","1345290","1620234",""
"VIDEOS 0 - 300-20260730T124444Z-1-001.zip","24","DOREEN1 Home Melhoria Da Armadura De Aço Inoxidável Cadeado Cilíndrico De Disco","VIDEOS 0 - 300/VIDEO 0024/DOREEN1 Home Melhoria Da Armadura De Aço Inoxidável Cadeado Cilíndrico De Disco.mp4","96c19c5356fefacb71c1f9098e07acdb3e9fad65b43f2e2982a2ed0f756b4309","ok","10,727","1080","1920","1080x1920","vertical","30","h264","aac","2","44100","2798829","3752880",""
"VIDEOS 0 - 300-20260730T124444Z-1-001.zip","26","[GrandLarge] Cola Para Calçados Adesiva À Prova D_água Universal Fortes BR","VIDEOS 0 - 300/VIDEO 0026/[GrandLarge] Cola Para Calçados Adesiva À Prova D_água Universal Fortes BR.mp4","349adc9c0ed897835bc1f762e21344c37a6bc0722d08433cf1c197ef36ed669f","ok","28,211","1080","1920","1080x1920","vertical","30","h264","aac","2","44100","2390239","8428880",""
"VIDEOS 0 - 300-20260730T124444Z-1-001.zip","27","(dmc) Conjunto Criativo De Vidro Resistente Ao Calor Para CopoCháLeite","VIDEOS 0 - 300/VIDEO 0027/(dmc) Conjunto Criativo De Vidro Resistente Ao Calor Para CopoCháLeite.mp4","673ac01db47736fa71c2ba4583bb2c281407c35f6a06a438569d0d9f8c3ca256","ok","13,56","1080","1920","1080x1920","vertical","30","h264","aac","2","44100","1399161","2371578",""
"VIDEOS 0 - 300-20260730T124444Z-1-001.zip","28","Xiaomi Mijia AR Impressora De Bolso 300dpi Mini Portátil Para Viagem Fotográfica Festa Câmera DIY Share 500mAh Imagem","VIDEOS 0 - 300/VIDEO 0028/Xiaomi Mijia AR Impressora De Bolso 300dpi Mini Portátil Para Viagem Fotográfica Festa Câmera DIY Share 500mAh Imagem.mp4","a3ad3fb64a1b0a5b190fbc2f0f0df3197ca6c1d290c0fb586fb162ffe1a97ad0","ok","9,844","1080","1920","1080x1920","vertical","30","h264","aac","2","44100","2061825","2537076",""
"VIDEOS 0 - 300-20260730T124444Z-1-001.zip","29","Suporte Para Geladeira Fogão E Máquina De Lavar Base Carrinho","VIDEOS 0 - 300/VIDEO 0029/Suporte Para Geladeira Fogão E Máquina De Lavar Base Carrinho.mp4","36a6e81a0245a7b1c496a19ceaf4b86650477f876534dc42dd17af020e168951","ok","19,341","1080","1920","1080x1920","vertical","30","h264","aac","2","44100","1593772","3853145",""
"VIDEOS 0 - 300-20260730T124444Z-1-001.zip","30","Semorin Tira ferrugem de Roupa Brancas e Coloridas","VIDEOS 0 - 300/VIDEO 0030/Semorin Tira ferrugem de Roupa Brancas e Coloridas.mp4","cb007b5d0a0a0337dd9cd87911e8a104153079fbb0ff12a4e877752d9a47bb2f","ok","12,631","1080","1920","1080x1920","vertical","30","h264","aac","2","44100","2181702","3444635",""
"VIDEOS 0 - 300-20260730T124444Z-1-001.zip","31","Vinil auto adesivo piso adesivos de parede de mármore à prova dwaterproof água filme decorativo banheiro cozinha sala estar decalques renovação chão","VIDEOS 0 - 300/VIDEO 0031/Vinil auto adesivo piso adesivos de parede de mármore à prova dwaterproof água filme decorativo banheiro cozinha sala estar decalques renovação chão.mp4","43add7f1aa87cacc723a5ff23103fd6cdb3e2d5d79d31320c0873e4c95216780","ok","15,301","1080","1920","1080x1920","vertical","30","h264","aac","2","44100","2765109","5288618",""
"VIDEOS 0 - 300-20260730T124444Z-1-001.zip","32","(Serra) Bacia Para Lavar Cabelos Com Mangueira","VIDEOS 0 - 300/VIDEO 0032/(Serra) Bacia Para Lavar Cabelos Com Mangueira.mp4","dc3bb6b596f17b7b943486b7ba47a29d351d3d3b117b53f75e5f815a07093d51","ok","20,386","1080","1920","1080x1920","vertical","30","h264","aac","2","44100","2655965","6768063",""
"VIDEOS 0 - 300-20260730T124444Z-1-001.zip","33","Escovas de Aço Multiuso Kit 3 Pcs Aço Latão Nylon Cabo Plástico","VIDEOS 0 - 300/VIDEO 0033/Escovas de Aço Multiuso Kit 3 Pcs Aço Latão Nylon Cabo Plástico.mp4","767e65b65de9b04de7aeb31d1365c7184cd8a8be17bfd344147bdab6a7ae5825","ok","10,611","1080","1920","1080x1920","vertical","30","h264","aac","2","44100","2620724","3476063",""
"VIDEOS 0 - 300-20260730T124444Z-1-001.zip","34","Cadeira Mochila Pesca Camping - Bolsa Térmica - Escolha a Sua","VIDEOS 0 - 300/VIDEO 0034/Cadeira Mochila Pesca Camping - Bolsa Térmica - Escolha a Sua.mp4","a1744d807447f850411e3be7dee1ef3f9734b40253c87da92689ac95027393f9","ok","8,614","1080","1920","1080x1920","vertical","30","h264","aac","2","44100","3836454","4130902",""
"VIDEOS 0 - 300-20260730T124444Z-1-001.zip","35","Limpador Multifuncional De Espuma De Carro Spray De Limpeza Para Todos Os Fins De Interiores Do Banco Forte Remoção De Manchas 100ML","VIDEOS 0 - 300/VIDEO 0035/Limpador Multifuncional De Espuma De Carro Spray De Limpeza Para Todos Os Fins De Interiores Do Banco Forte Remoção De Manchas 100ML.mp4","128d2b9df5c5fad59cc55bf50184b805d158aee61349e7480df409f4114d55c3","ok","17,112","1080","1920","1080x1920","vertical","30","h264","aac","2","44100","2639094","5645023",""
"VIDEOS 0 - 300-20260730T124444Z-1-001.zip","36","mini modelo,De Aço Inoxidável Preto Pulverizador Conjunto Sanitário","VIDEOS 0 - 300/VIDEO 0036/mini modelo,De Aço Inoxidável Preto Pulverizador Conjunto Sanitário.mp4","8acc349c02b5067759545e4403dfb80d58f31fac95a4ccc4e8f975f50327a1da","ok","11,33","1080","1920","1080x1920","vertical","30","h264","aac","2","44100","2514643","3561364",""
"VIDEOS 0 - 300-20260730T124444Z-1-001.zip","37","Rack de armazenamento para banheiro, Rack de armazenamento para banheiro, Rack de armazenamento, Caixa Organizadora, Instalação Livre, Luz, Luxo","VIDEOS 0 - 300/VIDEO 0037/Rack de armazenamento para banheiro, Rack de armazenamento para banheiro, Rack de armazenamento, Caixa Organizadora, Instalação Livre, Luz, Luxo.mp4","2c344e5d444f74d819988d02430f0455cca584ce7a600072a5c7b1fad9d55356","ok","14,14","1080","1920","1080x1920","vertical","30","h264","aac","2","44100","2694622","4762746",""
"VIDEOS 0 - 300-20260730T124444Z-1-001.zip","38","Teclado Sem Fio Dobrável Ultrafino Bluetooth Para Computador De Mesa De Celular De Liga De Alumínio Com Suporte Hoder Windows iPad PC Notebook Portátil","VIDEOS 0 - 300/VIDEO 0038/Teclado Sem Fio Dobrável Ultrafino Bluetooth Para Computador De Mesa De Celular De Liga De Alumínio Com Suporte Hoder Windows iPad PC Notebook Portátil.mp4","6953a591d2fc3ec82b0dcb375f9b29dffcd49afe19d210abc12da051e4705dbe","ok","8,126","1080","1920","1080x1920","vertical","30","h264","aac","2","44100","1976113","2007237",""
"VIDEOS 0 - 300-20260730T124444Z-1-001.zip","39","Pilão com Socador em Inox Base Antideslizante Mimo Style","VIDEOS 0 - 300/VIDEO 0039/Pilão com Socador em Inox Base Antideslizante Mimo Style.mp4","e7747e3c14bef5013ac5b3036ce38efcefeabc58b37683c6ed3964d60a5790f7","ok","7,383","1080","1920","1080x1920","vertical","30","h264","aac","2","44100","2250267","2076716",""
"VIDEOS 0 - 300-20260730T124444Z-1-001.zip","40","Batom Muda De Cor Com Flor Transparente De Longa Duração Na Temperatura HGF","VIDEOS 0 - 300/VIDEO 0040/Batom Muda De Cor Com Flor Transparente De Longa Duração Na Temperatura HGF.mp4","ba8eaf661627a2b55a147ab857648951edec16a14d34075054ad001cd84f17c2","ok","16,183","1080","1920","1080x1920","vertical","30","h264","aac","2","44100","2186809","4423643",""
"VIDEOS 0 - 300-20260730T124444Z-1-001.zip","41","[L & Z] Assento De Banho De Bebê Suporte Universal De Banheira Pode Sentar Almofada De Reclinação Recém-Nascido Aprender A","VIDEOS 0 - 300/VIDEO 0041/[L & Z] Assento De Banho De Bebê Suporte Universal De Banheira Pode Sentar Almofada De Reclinação Recém-Nascido Aprender A.mp4","37526c70dac45ca7639c1dc8ef0358d8b9c5f1b592c064ab2e0ae35b5a36231a","ok","7,731","1080","1920","1080x1920","vertical","30","h264","aac","2","44100","2822042","2727151",""
"VIDEOS 0 - 300-20260730T124444Z-1-001.zip","42","Capa de transporte Pet Carro - Bancos em Tecido","VIDEOS 0 - 300/VIDEO 0042/Capa de transporte Pet Carro - Bancos em Tecido.mp4","13ff05f764e1229058286d42b59b9e19310456a086a4c978b3e61974faa81224","ok","14,256","1080","1920","1080x1920","vertical","30","h264","aac","2","44100","3246080","5784515",""
"VIDEOS 0 - 300-20260730T124444Z-1-001.zip","43","Rosa Verde Preto E Branco Polka-dot Tecido Prato Artefato Para Cabelo Em Rede Butterfly Twist Clip Acessórios De Com Flores","VIDEOS 0 - 300/VIDEO 0043/Rosa Verde Preto E Branco Polka-dot Tecido Prato Artefato Para Cabelo Em Rede Butterfly Twist Clip Acessórios De Com Flores.mp4","d9f6bb3ef3a72f2277695c03821dd73cfca92172a6f9f6dfc979ac3e121049c4","ok","9,217","1080","1920","1080x1920","vertical","30","h264","aac","2","44100","1900451","2189558",""
"VIDEOS 0 - 300-20260730T124444Z-1-001.zip","44","Retangular levantado jardim cama kit interior ao ar livre plantador de plástico crescer caixa vaso de flores elevado jardim cama vasos & plantadores","VIDEOS 0 - 300/VIDEO 0044/Retangular levantado jardim cama kit interior ao ar livre plantador de plástico crescer caixa vaso de flores elevado jardim cama vasos & plantadores.mp4","365c85708868b9b5ccac3a87bc3f591a87739c9fe7b9e8036ee94be1581d15c4","ok","8,149","1080","1920","1080x1920","vertical","30","h264","aac","2","44100","3905351","3978089",""
"VIDEOS 0 - 300-20260730T124444Z-1-001.zip","45","Carregamento de baterias strokeTreinamento de reabilitação de dedos versão em inglês da função manual equipamento de massagem pneumática elétrica luvas robóticas","VIDEOS 0 - 300/VIDEO 0045/Carregamento de baterias strokeTreinamento de reabilitação de dedos versão em inglês da função manual equipamento de massagem pneumática elétrica luvas robóticas.mp4","b3a6a828cb3f700f06b031d2e799509c11e8f54e0d865f8b026a27873e91053d","ok","16,346","1080","1920","1080x1920","vertical","30","h264","aac","2","44100","3126567","6388360",""
"VIDEOS 0 - 300-20260730T124444Z-1-001.zip","46","dreamedge Dispensador De Sabonete Manual Fixado Na Parede Gel Líquido Para Mão , Shampoo , Condicionador , S","VIDEOS 0 - 300/VIDEO 0046/dreamedge Dispensador De Sabonete Manual Fixado Na Parede Gel Líquido Para Mão , Shampoo , Condicionador , S.mp4","02480f77630ef3dcd15f6714f158301d4562201e39fd0a34d132f297fb9196bc","ok","15,626","1080","1920","1080x1920","vertical","30","h264","aac","2","44100","1474179","2879441",""
"VIDEOS 0 - 300-20260730T124444Z-1-001.zip","47","Cortina Protetor Solar Infantil Blackout","VIDEOS 0 - 300/VIDEO 0047/Cortina Protetor Solar Infantil Blackout.mp4","505ae514c6454d72ef5d70de5e3f374c8ece7d055603030b93be8abfdb6546e1","ok","8,753","1080","1920","1080x1920","vertical","30","h264","aac","2","44100","3516722","3847734",""
"VIDEOS 0 - 300-20260730T124444Z-1-001.zip","48","6 Pçs Limpador De Orelha De Aço Inoxidável , Ferramenta De Remoção De Ouvido Para Adultos E Bebês","VIDEOS 0 - 300/VIDEO 0048/6 Pçs Limpador De Orelha De Aço Inoxidável , Ferramenta De Remoção De Ouvido Para Adultos E Bebês.mp4","ce60007b6d04a31f6781e98b5d2a585fcbff7507cbade4a1b477e4c1eef792ff","ok","17,832","1080","1920","1080x1920","vertical","30","h264","aac","2","44100","1592179","3548968",""
"VIDEOS 0 - 300-20260730T124444Z-1-001.zip","49","Magic Gem Cuidados cerâmicos da pintura do revestimento do carro para o líquido hidrofóbico do polímero da cera automática detalhando acessórios do carro selo nano do pulverizador M17","VIDEOS 0 - 300/VIDEO 0049/Magic Gem Cuidados cerâmicos da pintura do revestimento do carro para o líquido hidrofóbico do polímero da cera automática detalhando acessórios do carro selo nano do pulverizador M17.mp4","881ff114c64e6177daf3d6c1ff29dc8bae3f10e8745a859061e48f3a8cba65c7","ok","13,56","1080","1920","1080x1920","vertical","30","h264","aac","2","44100","2594866","4398298",""
"VIDEOS 0 - 300-20260730T124444Z-1-001.zip","50","Caixa de telefone móvel Caixas de bloqueio de temporização universal Caixa de telefone de autodisciplina","VIDEOS 0 - 300/VIDEO 0050/Caixa de telefone móvel Caixas de bloqueio de temporização universal Caixa de telefone de autodisciplina.mp4","e8ac43c470a2106c3264c6152fa85b99729de2f660786c560f160806fa6ba793","ok","18,482","1080","1920","1080x1920","vertical","30","h264","aac","2","44100","1037041","2395824",""
"VIDEOS 0 - 300-20260730T124444Z-1-001.zip","51","Stream Pólo Super Leve Vara De Pesca Dura De Alta Fibra De Carbono Telescópica Alça 3.6M 4.5M 5.4M 6.3M 7.2M Viagem Da Carpa","VIDEOS 0 - 300/VIDEO 0051/Stream Pólo Super Leve Vara De Pesca Dura De Alta Fibra De Carbono Telescópica Alça 3.6M 4.5M 5.4M 6.3M 7.2M Viagem Da Carpa.mp4","5e08061923fe141b6ce04ce6d85117939734013f6c439e28fb52345722fb9a45","ok","9,287","1080","1920","1080x1920","vertical","30","h264","aac","2","44100","3877589","4501397",""
"VIDEOS 0 - 300-20260730T124444Z-1-001.zip","52","Mini Drone Para Crianças Bola Voadora De Ovni Brinquedo Operado À Mão Com Brilhante UFO Bumerangue Luz Led","VIDEOS 0 - 300/VIDEO 0052/Mini Drone Para Crianças Bola Voadora De Ovni Brinquedo Operado À Mão Com Brilhante UFO Bumerangue Luz Led.mp4","9b79b296c7a36f9c429982e9404aac7d01dd603d6323262fce8877235d3f6aae","ok","11,911","1080","1920","1080x1920","vertical","30","h264","aac","2","44100","4058355","6042384",""
"VIDEOS 0 - 300-20260730T124444Z-1-001.zip","53","Novo retro arco pérola borla primavera clipe rosa flor franja mar clip alto rabo de cavalo uma palavra menina grampo de cabelo acessórios para o cabelo","VIDEOS 0 - 300/VIDEO 0053/Novo retro arco pérola borla primavera clipe rosa flor franja mar clip alto rabo de cavalo uma palavra menina grampo de cabelo acessórios para o cabelo.mp4","34342c00dfca3147ed7d1c41d59925d46a015074e4dd95bcffc86ce0ff515a32","ok","10,82","1080","1920","1080x1920","vertical","30","h264","aac","2","44100","3266324","4417704",""
"VIDEOS 0 - 300-20260730T124444Z-1-001.zip","54","Pote De Vidro Borossilicato Com Tampa Bola Cortiça Lyor","VIDEOS 0 - 300/VIDEO 0054/Pote De Vidro Borossilicato Com Tampa Bola Cortiça Lyor.mp4","5e4a4aa628c4c71115c0f9f9c93a5e42f5f8a3501799e6d7fd44a02f9c4189d9","ok","17,205","1080","1920","1080x1920","vertical","30","h264","aac","2","44100","3672720","7898644",""
"VIDEOS 0 - 300-20260730T124444Z-1-001.zip","55","Cadeiras de apoio traseiro modernas crianças apoio de braço bonito minimalista sala estar cadeiras de balanço macio silla plegable artigos domésticos","VIDEOS 0 - 300/VIDEO 0055/Cadeiras de apoio traseiro modernas crianças apoio de braço bonito minimalista sala estar cadeiras de balanço macio silla plegable artigos domésticos.mp4","f0c056b719aebaf6721f42eb7dff3d2c393c68ba5ce1b1d463cc79e4f74372e4","ok","6,454","1080","1920","1080x1920","vertical","30","h264","aac","2","44100","1718568","1386455",""
"VIDEOS 0 - 300-20260730T124444Z-1-001.zip","56","clio kill cover fownwear cushion all new 15g x 2ea","VIDEOS 0 - 300/VIDEO 0056/clio kill cover fownwear cushion all new 15g x 2ea.mp4","cc456f011d2540821b20f901a6e5f30835207a17c60eb0613305282e388ea314","ok","13,304","1080","1920","1080x1920","vertical","30","h264","aac","2","44100","1716065","2853817",""
"VIDEOS 0 - 300-20260730T124444Z-1-001.zip","57","Toalha Banho Limpeza Compacta, Impermeável - Algodão 70x140 Cm 6 Unidades Descartável N°4","VIDEOS 0 - 300/VIDEO 0057/Toalha Banho Limpeza Compacta, Impermeável - Algodão 70x140 Cm 6 Unidades Descartável N°4.mp4","67b70f9ac58aa39eceb1976923da6d0eb0494c27cd926707fbe232558650574f","ok","29,697","1080","1920","1080x1920","vertical","30","h264","aac","2","44100","3518606","13061507",""
"VIDEOS 0 - 300-20260730T124444Z-1-001.zip","58","Lona Protetora Pintura e Reforma c Fita Adesiva 105cm x 20m Bobina Plástica 21 m² Cobertura P Obras Construção Móveis","VIDEOS 0 - 300/VIDEO 0058/Lona Protetora Pintura e Reforma c Fita Adesiva 105cm x 20m Bobina Plástica 21 m² Cobertura P Obras Construção Móveis.mp4","5ac1a582f4fe5a6a26733dcd5d18cb3fbcc508a2e4fb6d786fcc1267f56fd87a","ok","13,234","1080","1920","1080x1920","vertical","30","h264","aac","2","44100","2718552","4497166",""
"VIDEOS 0 - 300-20260730T124444Z-1-001.zip","59","10 Pares Meias De Nylon De Alta Qualidade Femininas De Verão Cristal Fino De Seda Transparente Sem Escorregamento Elásticas Curtas","VIDEOS 0 - 300/VIDEO 0059/10 Pares Meias De Nylon De Alta Qualidade Femininas De Verão Cristal Fino De Seda Transparente Sem Escorregamento Elásticas Curtas.mp4","42ad60f30f541b63189a3717f030e557bfc57babbf9363cc04c595370781dcd4","ok","8,173","1080","1920","1080x1920","vertical","30","h264","aac","2","44100","2780840","2840976",""
"VIDEOS 0 - 300-20260730T124444Z-1-001.zip","60","Vaporizador Portátil BDV2000VB2 Black+Decker Branco e Vermelho 220V 1200W","VIDEOS 0 - 300/VIDEO 0060/Vaporizador Portátil BDV2000VB2 Black+Decker Branco e Vermelho 220V 1200W.mp4","43d420f3a91ac3157220019a1a2b248631510409a260fd3f8e6e85b11b5e6186","ok","7,174","1080","1920","1080x1920","vertical","30","h264","aac","2","44100","1567591","1405738",""
"VIDEOS 0 - 300-20260730T124444Z-1-001.zip","61","Cachoeira pia da cozinha 304 pia de aço inoxidável grande único slot com toque multifunções cachoeira torneira acima do contador","VIDEOS 0 - 300/VIDEO 0061/Cachoeira pia da cozinha 304 pia de aço inoxidável grande único slot com toque multifunções cachoeira torneira acima do contador.mp4","85f49b849a5d8d265543c09d5355ccf223b0558aebd43a6c629611fe14231d0f","ok","27,19","1080","1920","1080x1920","vertical","30","h264","aac","2","44100","2065599","7020455",""
